Date,Value,Value_Classification,BTC_Closing,BTC_Volume
3/9/2019,55,Greed,3963.313721,10796103518
3/10/2019,55,Greed,3951.599854,9713267607
3/11/2019,56,Greed,3905.227295,10125901903
3/12/2019,56,Greed,3909.15625,9809887079
3/13/2019,54,Neutral,3906.717285,9469184841
3/14/2019,55,Greed,3924.369141,10480789570
3/15/2019,55,Greed,3960.911133,9394210605
3/16/2019,54,Neutral,4048.72583,9856166973
3/17/2019,58,Greed,4025.229004,8221625400
3/18/2019,56,Greed,4032.507324,9646954186
3/19/2019,56,Greed,4071.190186,9344919956
3/20/2019,55,Greed,4087.476318,10175916388
3/21/2019,62,Greed,4029.326904,10831212662
3/22/2019,56,Greed,4023.968262,9252935969
3/23/2019,50,Neutral,4035.826416,9578850549
3/24/2019,44,Fear,4022.168213,9144851065
3/25/2019,46,Fear,3963.070557,10359818883
3/26/2019,43,Fear,3985.080811,10707678815
3/27/2019,44,Fear,4087.066162,10897131934
3/28/2019,49,Neutral,4069.107178,9353915899
3/29/2019,50,Neutral,4098.374512,10918665557
3/30/2019,57,Greed,4106.660156,9732688060
3/31/2019,56,Greed,4105.404297,9045122443
4/1/2019,62,Greed,4158.183105,10157794171
4/2/2019,60,Greed,4879.87793,21315047816
4/3/2019,71,Greed,4973.021973,22899891582
4/4/2019,61,Greed,4922.798828,18251810240
4/5/2019,59,Greed,5036.681152,16837325387
4/6/2019,65,Greed,5059.817383,16929795194
4/7/2019,69,Greed,5198.896973,16655416140
4/8/2019,65,Greed,5289.770996,17154113634
4/9/2019,64,Greed,5204.958496,14722104361
4/10/2019,62,Greed,5324.551758,15504590933
4/11/2019,65,Greed,5064.487793,16555616019
4/12/2019,42,Fear,5089.539063,13675206312
4/13/2019,62,Greed,5096.586426,10823289598
4/14/2019,51,Neutral,5167.722168,10391952498
4/15/2019,60,Greed,5067.108398,12290155061
4/16/2019,50,Neutral,5235.55957,11618660197
4/17/2019,61,Greed,5251.937988,12438480677
4/18/2019,64,Greed,5298.385742,13256489918
4/19/2019,61,Greed,5303.8125,13780238655
4/20/2019,62,Greed,5337.88623,13169647522
4/21/2019,62,Greed,5314.53125,13731844223
4/22/2019,61,Greed,5399.365234,14601631648
4/23/2019,68,Greed,5572.362305,15867308108
4/24/2019,65,Greed,5464.866699,17048033399
4/25/2019,58,Greed,5210.515625,15330283408
4/26/2019,41,Fear,5279.348145,16812108040
4/27/2019,42,Fear,5268.291016,13111274675
4/28/2019,40,Fear,5285.13916,12819992056
4/29/2019,42,Fear,5247.352539,13735490672
4/30/2019,42,Fear,5350.726563,13878964574
5/1/2019,51,Neutral,5402.697266,13679528236
5/2/2019,50,Neutral,5505.283691,14644460907
5/3/2019,63,Greed,5768.289551,18720780006
5/4/2019,66,Greed,5831.16748,17567780766
5/5/2019,67,Greed,5795.708496,14808830723
5/6/2019,57,Greed,5746.807129,15737171804
5/7/2019,69,Greed,5829.501465,18026409033
5/8/2019,63,Greed,5982.45752,15320605300
5/9/2019,69,Greed,6174.528809,16784645411
5/10/2019,71,Greed,6378.849121,19419875368
5/11/2019,76,Extreme Greed,7204.771484,28867562329
5/12/2019,75,Greed,6972.371582,27773333680
5/13/2019,78,Extreme Greed,7814.915039,28677672181
5/14/2019,78,Extreme Greed,7994.416016,32031452227
5/15/2019,77,Extreme Greed,8205.167969,28344112920
5/16/2019,75,Greed,7884.90918,33167197581
5/17/2019,65,Greed,7343.895508,30066644905
5/18/2019,67,Greed,7271.208008,21354286562
5/19/2019,70,Greed,8197.689453,25902422040
5/20/2019,73,Greed,7978.309082,23843404340
5/21/2019,68,Greed,7963.327637,25127245056
5/22/2019,69,Greed,7680.066406,24719473175
5/23/2019,65,Greed,7881.84668,24457107820
